sentence,position,eps,timing,memory
0,1,0.006308593787252903,39.726344,3563410944
0,2,0.0076318359933793545,40.134604,2798471168
0,3,0.008554687723517418,39.942047,2945438720
0,4,0.00832519493997097,39.420550,3021019648
0,5,0.008027344010770321,39.394665,3171132928
0,6,0.008408202789723873,38.497119,3246648320
0,7,0.008227539248764515,37.292645,3392632832
0,8,0.008393554948270321,36.965168,3469262336
0,9,0.008515625260770321,36.700363,3618327040
0,10,0.00803222693502903,36.333472,3694956544
0,11,0.008291015401482582,36.525340,3840875520
0,12,0.008139648474752903,37.800413,1802921472
0,13,0.008452148176729679,37.623415,2029664256
0,14,0.008129882626235485,37.485646,2029336576
0,15,0.008168945088982582,37.676959,2249787904
0,16,0.008457031100988388,37.113122,2251098624
0,17,0.008515625260770321,37.308313,2400949760
0,18,0.008222656324505806,36.866675,2475482112
1,1,0.021835938096046448,62.673143,3358515712
1,2,0.021562499925494194,63.148590,3458984448
1,3,0.022617187350988388,63.115403,3656250880
1,4,0.022519530728459358,62.533235,3757767680
1,5,0.022402344271540642,63.165231,3955034112
1,6,0.02291015535593033,62.643916,4054453760
1,7,0.021132811903953552,62.254152,4353236992
1,8,0.02275390550494194,62.635027,4355334144
1,9,0.021269531920552254,62.222923,4658311680
1,10,0.023125000298023224,61.467628,4854529536
1,11,0.021113282069563866,61.978771,4956046336
1,12,0.023300781846046448,61.674007,5155934208
1,13,0.022968750447034836,61.490561,5256926720
1,14,0.022695312276482582,62.159942,5456290304
1,15,0.022832030430436134,61.980731,5556234240
1,16,0.02291015535593033,61.895130,5855541760
1,17,0.023593749850988388,61.630241,5958107136
1,18,0.02197265625,60.575522,6159567872
1,19,0.022929687052965164,60.903892,6358407168
1,20,0.022031249478459358,60.695052,6459399680
1,21,0.023300781846046448,60.586984,6658238976
1,22,0.02250000089406967,60.425787,6759231488
1,23,0.023125000298023224,63.803779,7059587584
1,24,0.022792968899011612,63.457324,7059587584
1,25,0.023125000298023224,64.256047,7359943680
2,1,0.005415039137005806,15.285990,5930302464
2,2,0.005527343600988388,15.633892,831572480
2,3,0.005688476376235485,15.358772,863440896
2,4,0.005727538838982582,15.106231,927177728
2,5,0.005214843899011612,15.271894,959046144
2,6,0.005791015457361937,15.055624,990914560
3,1,0.013535155914723873,36.224549,1877993472
3,2,0.014707031659781933,36.123586,2005726720
3,3,0.014755859039723873,35.639732,2069593088
3,4,0.014814453199505806,35.815050,2197325824
3,5,0.014873046427965164,36.092717,2261192192
3,6,0.013876953162252903,35.909366,2388924928
3,7,0.01513671875,35.535317,2452791296
3,8,0.015371093526482582,35.929374,2580524032
3,9,0.01591796800494194,35.859377,2644390400
3,10,0.015166015364229679,35.367178,2772123136
3,11,0.015019531361758709,35.153129,2835989504
3,12,0.015195312909781933,35.449648,2963722240
3,13,0.015224609524011612,35.394889,3027588608
3,14,0.01503906212747097,35.656965,3155321344
3,15,0.015351562760770321,35.525055,3219187712
4,1,0.006596679799258709,19.531482,2955727872
4,2,0.006191406399011612,20.036832,2967575552
4,3,0.006997070275247097,20.665022,3059755008
4,4,0.006762695498764515,20.731184,3105844736
4,7,0.006137695163488388,20.161770,3198024192
4,8,0.0066894530318677425,20.398145,3244113920
4,9,0.006137695163488388,20.403274,3336293376
4,10,0.006586913950741291,20.610678,3382383104
5,1,0.011171874590218067,31.055851,3845503488
5,2,0.011298827826976776,30.877789,3905815040
5,3,0.011601562611758709,31.736233,4026437120
5,6,0.011445312760770321,30.510591,4086748160
5,7,0.011689453385770321,30.293151,4207370240
5,8,0.011630859225988388,30.290385,4267681280
5,9,0.011660155840218067,31.127968,4388303360
5,10,0.011533203534781933,31.065901,1575393792
5,11,0.011708984151482582,31.108736,1635704832
5,12,0.011904296465218067,31.121456,1756326912
5,13,0.010830078274011612,30.992740,1816637952
5,14,0.011660155840218067,30.979933,1937260032
6,3,0.009726562537252903,28.525980,1997588480
6,11,0.00974121131002903,28.627212,2118211072
6,12,0.01040039025247097,30.579725,2178522112
6,13,0.01010742224752903,30.610342,2299144192
6,14,0.009946289472281933,28.333555,2359455232
7,3,0.012236327864229679,35.309658,2666628608
7,6,0.012519530951976776,34.890550,2734050816
7,7,0.012265625409781933,34.860890,2868894208
7,8,0.012832031585276127,34.773556,2936315904
7,9,0.012734374962747097,34.758594,3071159296
7,10,0.01318359375,34.375859,3138580992
7,11,0.012470703572034836,34.342404,3273424384
7,14,0.012519530951976776,34.188317,3340846080
7,15,0.011201172135770321,34.376631,3543111168
7,16,0.012431640177965164,33.810420,3543111168
8,3,0.012236327864229679,34.200165,3745395712
8,6,0.012519530951976776,34.136572,3745396224
8,7,0.012265625409781933,34.163363,3947661312
8,8,0.012832031585276127,34.275175,3947661312
8,9,0.012734374962747097,34.152991,4149926400
8,10,0.01318359375,34.155151,4217348096
8,11,0.012470703572034836,34.054699,4352191488
8,14,0.012519530951976776,34.128574,4487034880
8,15,0.011201172135770321,33.949404,4554456576
8,16,0.012431640177965164,34.035963,4689299968
9,1,0.015839843079447746,44.467474,5155877888
9,2,0.016738280653953552,44.446501,5336531456
9,3,0.017021484673023224,44.702929,5418174464
9,4,0.01827148348093033,44.384236,5578314752
9,5,0.017978515475988388,46.189252,2078061568
9,6,0.016445312649011612,45.553482,2240299008
9,7,0.017958983778953552,45.435531,2401487872
9,8,0.018828125670552254,45.527424,2484179456
9,9,0.01778320223093033,45.250219,2646416896
9,10,0.016777344048023224,45.051931,2727011328
9,11,0.01738281175494194,44.788201,2890297344
9,12,0.018144531175494194,44.981371,2971940352
9,13,0.018076172098517418,45.351816,3135226368
9,14,0.01752929762005806,44.990567,3216869376
9,15,0.01802734285593033,44.623806,3380155392
9,16,0.018095703795552254,44.401718,3461798400
9,17,0.016923828050494194,46.256109,3627181568
9,20,0.018173828721046448,46.915180,3706727424
