sentence,position,eps,timing,memory
0,1,0.003823242150247097,80.953590,7417177088
0,2,0.004687500186264515,80.762466,7428384256
0,3,0.0062109376303851604,88.607674,7461083648
0,4,0.004851074423640966,82.151841,7389233664
0,5,0.00482177734375,82.163706,7391904256
0,6,0.0051123048178851604,85.835208,7410887168
0,7,0.0052490234375,86.570267,7438321152
0,8,0.0055078123696148396,85.700157,7440800256
0,9,0.007275390438735485,87.573972,7439160832
0,10,0.004692382644861937,81.770052,7405785600
0,11,0.004999999888241291,85.870332,7421213184
0,12,0.0053515625186264515,86.479511,7444569600
0,13,0.005932617001235485,85.348095,7401975296
0,14,0.005131836049258709,86.056332,7412362752
0,15,0.0049584959633648396,81.585110,7374588416
0,16,0.006479492411017418,88.029255,7444200960
0,17,0.007280273362994194,87.363356,7428445696
0,18,0.0053955079056322575,86.316136,7445224960
1,1,0.0018566894577816129,84.591345,9042744320
1,2,0.0016931152204051614,94.066648,9007078912
1,3,0.002354736439883709,80.536258,9007155712
1,4,0.0012396239908412099,103.302086,9385753088
1,5,0.002517089946195483,71.636699,9202979328
1,6,0.0034692382905632257,82.490980,9363064320
1,7,0.0021118163131177425,80.233476,9097956864
1,8,0.0026000975631177425,75.683388,9251294720
1,9,0.003156738355755806,79.815423,9324562944
1,10,0.0012469482608139515,103.324341,9334999552
1,11,0.0031835937406867743,75.701869,9285543424
1,12,0.001242675818502903,98.226174,9320619520
1,13,0.0020104979630559683,89.177952,8953422336
1,14,0.0012371826451271772,101.994247,9387051520
1,15,0.0027368164155632257,78.533039,9415520768
1,16,0.0031713866628706455,79.054981,9323706880
1,17,0.0025756836403161287,82.277683,9219992064
1,18,0.0017956543015316129,91.618797,8970420736
1,19,0.0025292967911809683,73.367512,9078218240
1,20,0.0025317382533103228,77.915909,9392452096
1,21,0.0025756836403161287,81.367042,9233243648
1,22,0.002968749962747097,76.391169,9390449152
1,23,0.003168945200741291,76.440444,9305651712
1,24,0.0012420654529705644,101.849526,9341429248
1,25,0.002580566331744194,81.883842,9552843264
2,1,0.008124999701976776,30.082764,2051596288
2,2,0.008735351264476776,31.156838,2052793856
2,3,0.009257812052965164,30.810079,2053614080
2,4,0.008916015736758709,30.414835,2052630016
2,5,0.0070556639693677425,30.465201,2028253696
2,6,0.008925781585276127,30.538878,2051858944
3,1,0.010009765625,58.488117,5728369664
3,2,0.010322265326976776,59.574613,5746552320
3,3,0.010322265326976776,59.473463,5744096768
3,4,0.007612304762005806,64.429013,5720985088
3,5,0.012519530951976776,61.129873,5744061952
3,6,0.010117187164723873,62.564189,5749756416
3,7,0.013759765774011612,62.964468,5744862720
3,8,0.007612304762005806,65.545466,5748207104
3,9,0.009184570051729679,65.927179,5712650752
3,10,0.0063623045571148396,66.519478,5720950272
3,11,0.010097656399011612,59.511216,5747196416
3,12,0.010097656399011612,59.336354,5744514560
3,13,0.006660156417638063,66.605166,5718407680
3,14,0.010117187164723873,59.345520,5745402368
3,15,0.007499999832361937,66.077176,5753414144
4,1,0.012587890960276127,40.859283,3457952768
4,2,0.0063720704056322575,43.807338,3474896384
4,3,0.009370117448270321,45.809970,3485630976
4,4,0.011259765364229679,40.199720,3476187648
4,7,0.004753417801111937,42.301430,3466819072
4,8,0.009541016072034836,43.269906,3497078272
4,9,0.0045410157181322575,42.519774,3472462336
4,10,0.0064892577938735485,43.706671,3471491584
5,1,0.008583984337747097,61.173862,5234816000
5,2,0.01059570349752903,60.211689,5227324928
5,3,0.010615234263241291,61.155523,5235013120
5,6,0.011777344159781933,63.062203,5225883136
5,7,0.00974121131002903,61.358262,5220407808
5,8,0.009877929463982582,61.713524,5218981376
5,9,0.00974121131002903,61.203685,5220424192
5,10,0.008432617411017418,61.719096,5218964992
5,11,0.01259765587747097,63.293393,5224194560
5,12,0.009257812052965164,60.271840,5196465664
5,13,0.011250000447034836,61.729840,5227670016
