sentence,position,eps,timing,memory
0,10,0.6156250238418579,1449.448398,5300355072
1,13,1.2300000190734863,4056.366898,11221950976
2,4,0.48625001311302185,966.767862,897209856
3,12,0.9275000095367432,1730.557741,3822078976
4,7,0.37031251192092896,1122.720009,1632379904
5,11,0.8543750047683716,1699.323579,3142659072
6,3,0.5168750286102295,1818.337141,3199217664
7,6,0.28703126311302185,1646.712056,4103682560
8,3,0.3020312488079071,1795.595652,4189995520
9,2,0.9937499761581421,2536.115674,6823159296
