sentence,position,eps,timing
0,1,1.8512500524520874,29.543365
0,2,1.902500033378601,29.278739
0,3,1.9387500286102295,29.621752
0,4,1.8987499475479126,29.665643
0,5,1.8987499475479126,29.239432
0,6,1.899999976158142,28.668182
0,7,1.8962500095367432,28.722564
0,8,1.8912500143051147,28.712985
0,9,1.899999976158142,28.530130
0,10,1.8862500190734863,28.298219
0,11,1.8912500143051147,28.373776
0,12,1.8862500190734863,28.216425
0,13,1.8975000381469727,28.069711
0,14,1.8875000476837158,27.973406
0,15,1.881250023841858,27.913628
0,16,1.9075000286102295,27.677246
0,17,1.912500023841858,28.157714
0,18,1.8925000429153442,28.692792
1,1,2.565000057220459,37.442852
1,2,2.541249990463257,37.284741
1,3,2.567500114440918,37.024350
1,4,2.5512499809265137,37.048855
1,5,2.5250000953674316,37.249620
1,6,2.5512499809265137,37.294023
1,7,2.4887499809265137,36.666231
1,8,2.5625,36.935792
1,9,2.523750066757202,36.260236
1,10,2.5562500953674316,37.118582
1,11,2.538749933242798,36.863122
1,12,2.567500114440918,36.895371
1,13,2.546250104904175,36.915194
1,14,2.565000057220459,36.924745
1,15,2.5587499141693115,36.779727
1,16,2.5587499141693115,36.969168
1,17,2.569999933242798,36.506179
1,18,2.5087499618530273,36.421877
1,19,2.552500009536743,36.783017
1,20,2.5562500953674316,36.108573
1,21,2.555000066757202,36.421256
1,22,2.502500057220459,36.717126
1,23,2.5924999713897705,36.030689
1,24,2.541249990463257,35.713830
1,25,2.5625,35.489952
2,1,1.4850000143051147,20.946984
2,2,1.502500057220459,21.075350
2,3,1.4987499713897705,20.657864
2,4,1.4887499809265137,20.539855
2,5,1.4574999809265137,20.708918
2,6,1.4912500381469727,21.006316
3,1,2.2100000381469727,24.836457
3,2,2.3812499046325684,24.557877
3,3,2.3737499713897705,24.638127
3,4,2.3712499141693115,24.618194
3,5,2.380000114440918,24.559019
3,6,2.1575000286102295,24.644309
3,7,2.358750104904175,24.680174
3,8,2.365000009536743,24.994672
3,9,2.4437499046325684,24.937768
3,10,2.3524999618530273,24.863958
3,11,2.3524999618530273,25.195744
3,12,2.369999885559082,24.756125
3,13,2.3687500953674316,25.403300
3,14,2.362499952316284,25.054073
3,15,2.3687500953674316,24.539673
4,1,1.506250023841858,22.078714
4,2,1.4950000047683716,22.219387
4,3,1.5399999618530273,22.344100
4,4,1.4887499809265137,22.177238
4,7,1.46875,22.197540
4,8,1.4762500524520874,22.367261
4,9,1.4587500095367432,22.229861
4,10,1.4800000190734863,22.227594
5,1,2.869999885559082,23.973792
5,2,2.862499952316284,24.126673
5,3,2.872499942779541,23.709205
5,6,2.8399999141693115,23.921118
5,7,2.869999885559082,23.605023
5,8,2.7300000190734863,23.740878
5,9,2.8924999237060547,23.614681
5,10,2.817500114440918,24.228515
5,11,2.8975000381469727,23.649810
5,12,2.9200000762939453,23.483386
5,13,2.827500104904175,23.337415
5,14,2.882499933242798,23.567236
6,3,1.9912500381469727,23.975301
6,11,1.9824999570846558,24.208834
6,12,1.9512499570846558,24.074748
6,13,2.0087499618530273,24.291919
6,14,1.9837499856948853,24.383993
7,3,0.6568750143051147,28.381096
7,6,0.6487500071525574,28.444867
7,7,0.65625,28.059070
7,8,0.6556249856948853,28.254738
7,9,0.6575000286102295,28.650149
7,10,0.6537500023841858,27.811092
7,11,0.659375011920929,28.281153
7,14,0.6556249856948853,28.199876
7,15,0.6631249785423279,27.765563
7,16,0.6587499976158142,28.262021
8,1,0.03730468824505806,33.852064
8,2,0.03695312514901161,34.012958
8,3,0.03812500089406967,33.311192
8,4,0.03638671711087227,33.865765
8,5,0.037089843302965164,35.471428
8,6,0.03654296696186066,35.333928
8,7,0.03724609315395355,35.744417
8,12,0.037421874701976776,34.931029
9,3,0.6568750143051147,29.194739
9,6,0.6487500071525574,29.274255
9,7,0.65625,29.636239
9,8,0.6556249856948853,30.024157
9,9,0.6575000286102295,29.145657
9,10,0.6537500023841858,29.351612
9,11,0.659375011920929,28.838128
9,14,0.6556249856948853,29.261296
9,15,0.6631249785423279,28.887240
9,16,0.6587499976158142,28.971287
