sentence,position,eps,timing,memory
0,1,0.03228515759110451,20.284789,4937440768
0,2,0.033710937947034836,20.281142,4935854080
0,3,0.03496093675494194,20.292400,4935598080
0,4,0.03369140625,20.335177,4935895040
0,5,0.03361327946186066,20.324728,4935905280
0,6,0.03361327946186066,20.315367,4935833600
0,7,0.03382812440395355,20.320760,4935884800
0,8,0.03345702961087227,20.307782,4936099840
0,9,0.03398437425494194,20.338230,4936110080
0,10,0.03328125178813934,20.305369,4936345600
0,11,0.03349609300494194,20.314823,4936028160
0,12,0.03333984315395355,20.322250,4936212480
0,13,0.033710937947034836,20.328052,4935895040
0,14,0.033515624701976776,20.335615,4936069120
0,15,0.033203125,20.319815,4936345600
0,16,0.03423828259110451,20.337351,4935741440
0,17,0.03425781428813934,20.383063,4935772160
0,18,0.03345702961087227,20.340145,4936243200
1,1,0.046210937201976776,30.565182,7569396736
1,2,0.045585937798023224,30.418570,7569397248
1,3,0.046210937201976776,30.359726,7569397248
1,4,0.04582031071186066,30.358428,7569397248
1,5,0.04515625163912773,30.401638,7569397248
1,6,0.045781251043081284,30.532104,7569397248
1,7,0.04433593899011612,30.474390,7569397248
1,8,0.046015623956918716,30.490600,7569397248
1,9,0.045039061456918716,30.508532,7569397248
1,10,0.04585937410593033,30.451103,7569397248
1,11,0.045429687947034836,30.419558,7569397248
1,12,0.04609375074505806,30.391614,7569397248
1,13,0.045585937798023224,30.415181,7569397248
1,14,0.04605468735098839,30.403429,7569397248
1,15,0.0458984375,30.437778,7569397248
1,16,0.04593750089406967,30.419434,7569397248
1,17,0.046171873807907104,30.402304,7569397248
1,18,0.04472656175494194,30.533122,7569397248
1,19,0.045781251043081284,30.437762,7569397248
1,20,0.04585937410593033,30.412466,7569397248
1,21,0.045781251043081284,30.370296,7569397248
1,22,0.04468749836087227,30.400747,7569397248
1,23,0.04691406339406967,30.424121,7569397248
1,24,0.04554687440395355,30.428471,7569397248
1,25,0.046015623956918716,30.415303,7569397248
2,1,0.025664063170552254,10.231185,263384576
2,2,0.026054687798023224,10.278440,262236160
2,3,0.02591796964406967,10.260757,264046592
2,4,0.025761717930436134,10.250984,262723584
2,5,0.025039061903953552,10.263331,266065920
2,6,0.025761717930436134,10.263476,263628800
3,1,0.04027343913912773,18.465676,3021224448
3,2,0.042109373956918716,18.446040,3019954176
3,3,0.041875001043081284,18.493484,3020067328
3,4,0.04179687425494194,18.514908,3020067328
3,5,0.041875001043081284,18.504822,3020076032
3,6,0.039765626192092896,16.958476,2701995008
3,7,0.04136718809604645,18.507948,3020546048
3,8,0.041523437947034836,18.500970,3020528640
3,9,0.04374999925494194,18.456394,3019458048
3,10,0.041328124701976776,18.514242,3020615680
3,11,0.04125000163912773,18.518733,3020685312
3,12,0.041718751192092896,18.501827,3020250112
3,13,0.041679687798023224,18.503357,3020406784
3,14,0.04156250134110451,18.517487,3020415488
3,15,0.041679687798023224,18.496233,3020459008
4,1,0.027226561680436134,12.017740,678550016
4,2,0.026699218899011612,12.048504,675029504
4,3,0.02835937589406967,11.990201,676066304
4,4,0.026621093973517418,12.026768,676066304
4,7,0.02597656287252903,12.024938,678492672
4,8,0.02626953087747097,12.042435,675951104
4,9,0.02578124962747097,12.018097,678515712
4,10,0.02626953087747097,12.026365,675835904
5,1,0.05183593928813934,16.766828,2336889344
5,2,0.051484376192092896,16.775326,2339875840
5,3,0.05160156264901161,16.781833,2341657600
5,6,0.050664063543081284,16.789024,2352176128
5,7,0.05136718600988388,16.782118,2346769408
5,8,0.049335937947034836,16.836850,2361146368
5,9,0.051640626043081284,16.775974,2340219904
5,10,0.050078123807907104,16.784435,2356046848
5,11,0.05195312574505806,16.770550,2344553472
5,12,0.05257812514901161,16.755873,2335251456
5,13,0.050117187201976776,16.772803,2355698688
5,14,0.051484376192092896,16.776169,2346609664
6,3,0.03583984449505806,15.505826,2157632000
6,11,0.035664062947034836,15.500608,2161466368
6,12,0.03626953065395355,15.500369,2155789312
6,13,0.03652343899011612,15.506791,2155752448
6,14,0.03556640446186066,15.487913,2160528384
7,3,0.011259765364229679,18.190386,3577134080
7,6,0.011269531212747097,18.224850,3577116160
7,7,0.011152343824505806,18.185339,3576724992
7,8,0.01123046875,18.191318,3577512448
7,9,0.011298827826976776,18.187243,3577576960
7,10,0.01132812537252903,18.190372,3577245184
7,11,0.011279297061264515,18.188074,3576651264
7,14,0.011318359524011612,18.192163,3577328128
7,15,0.011103515513241291,18.174724,3576798720
7,16,0.011250000447034836,18.187280,3576715776
8,1,0.0006390381022356451,17.610369,1262073856
8,2,0.0006256103515625,17.598892,1257940992
8,3,0.0006240844959393144,18.684957,1259707392
8,4,0.0006079101585783064,18.675707,1262228992
8,5,0.0006066894275136292,18.673284,1265031168
8,6,0.0006109619280323386,18.677552,1265643008
8,7,0.00061798095703125,18.652663,1262115840
8,12,0.0006066894275136292,18.654825,1268087296
9,3,0.011259765364229679,18.182359,3577134080
9,6,0.011269531212747097,18.239826,3577116160
9,7,0.011152343824505806,18.238950,3576724992
9,8,0.01123046875,18.261950,3577512448
9,9,0.011298827826976776,18.265405,3577576960
9,10,0.01132812537252903,18.263993,3577245184
9,11,0.011279297061264515,18.260876,3576651264
9,14,0.011318359524011612,18.257545,3577328128
9,15,0.011103515513241291,18.250676,3576798720
9,16,0.011250000447034836,18.270452,3576715776
