sentence,position,eps,timing,memory
0,1,0.030585937201976776,20.494767,5109055488
0,2,0.031953126192092896,20.766149,5107468800
0,3,0.033203125,20.965389,5107212800
0,4,0.031953126192092896,20.854936,5107509760
0,5,0.03187499940395355,20.677713,5107520000
0,6,0.03189453110098839,20.544710,5107448320
0,7,0.032109376043081284,20.516955,5107499520
0,8,0.031757812947034836,20.364323,5107714560
0,9,0.03226562589406967,20.361530,5107724800
0,10,0.03158203139901161,20.319561,5107960320
0,11,0.03177734464406967,20.334145,5107642880
0,12,0.031621094793081284,20.395217,5107827200
0,13,0.03199218586087227,20.296280,5107509760
0,14,0.03181640803813934,20.521904,5107683840
0,15,0.03150390461087227,20.502963,5107960320
0,16,0.032539062201976776,20.513683,5107356160
0,17,0.032539062201976776,20.457034,5107386880
0,18,0.03173828125,20.295773,5107857920
1,1,0.041484374552965164,28.732330,7720193024
1,2,0.04093749821186066,28.818561,7720387072
1,3,0.041523437947034836,29.065572,7720165888
1,4,0.041132811456918716,29.047549,7720262656
1,5,0.040507812052965164,28.942901,7720539136
1,6,0.04109375178813934,28.887388,7720221184
1,7,0.03980468586087227,26.625251,7684790272
1,8,0.041289061307907104,29.027335,7720165888
1,9,0.04039062559604645,28.946595,7720608256
1,10,0.041132811456918716,28.944208,7720248832
1,11,0.04078124836087227,29.182699,7720387072
1,12,0.04140625149011612,29.051696,7720138240
1,13,0.040898438543081284,28.998796,7720373248
1,14,0.041328124701976776,29.052278,7720193536
1,15,0.04121093824505806,28.958855,7720235008
1,16,0.04121093824505806,29.123799,7720207360
1,17,0.04144531115889549,29.046649,7720138240
1,18,0.04011718928813934,28.927225,7720622080
1,19,0.04109375178813934,28.661633,7720248832
1,20,0.04117187485098839,28.733219,7720235008
1,21,0.04109375178813934,28.639277,7720235008
1,22,0.04007812589406967,28.789217,7720622080
1,23,0.04218750074505806,28.754352,7720082944
1,24,0.04085937514901161,28.845028,7720387072
1,25,0.041289061307907104,28.716110,7720193536
2,1,0.023203125223517418,15.664467,263384576
2,2,0.023574218153953552,15.622888,262236160
2,3,0.023496093228459358,15.644263,264046592
2,4,0.02324218675494194,15.659452,262723584
2,5,0.022695312276482582,15.623876,266065920
2,6,0.023222656920552254,15.615592,263628800
3,1,0.03636718913912773,18.308951,2848771072
3,2,0.03792968764901161,18.126286,2821558272
3,3,0.037714842706918716,18.147960,2822958592
3,4,0.037617187947034836,18.465027,2824150528
3,5,0.03773437440395355,18.693093,2821722112
3,6,0.035957030951976776,18.655871,2853768704
3,7,0.037285156548023224,18.352038,2827148800
3,8,0.03740234300494194,18.348030,2823753216
3,9,0.03945312649011612,18.342007,2795411456
3,10,0.037226561456918716,18.419241,2827519488
3,11,0.03718750178813934,18.228280,2827321856
3,12,0.037578124552965164,18.370026,2822363136
3,13,0.03755859285593033,18.369076,2823156224
3,14,0.03744140639901161,18.352641,2823950848
3,15,0.03753906115889549,18.313035,2823950848
4,1,0.025507813319563866,16.453221,752463360
4,2,0.024980468675494194,16.478130,748452864
4,3,0.026640625670552254,16.468346,749430784
4,4,0.02490234375,16.561070,749430784
4,7,0.024257812649011612,16.601025,751963136
4,8,0.024589844048023224,16.637840,749280256
4,9,0.024101562798023224,16.491382,752162816
4,10,0.024531250819563866,16.451730,749129728
5,1,0.047539062798023224,19.314587,2485324288
5,2,0.047187499701976776,19.238960,2488777728
5,3,0.04726562649011612,19.150473,2493717504
5,6,0.046406250447034836,19.070242,2503056384
5,7,0.04707031324505806,19.408005,2498698240
5,8,0.04531250149011612,19.258986,2512706560
5,9,0.04730468615889549,19.299274,2492316672
5,10,0.04593750089406967,19.227429,2507258880
5,11,0.04761718586087227,19.337639,2496592896
5,12,0.04824218899011612,19.323365,2483293184
5,13,0.0458984375,19.264158,2506824704
5,14,0.047187499701976776,19.378325,2498542592
6,3,0.03355468809604645,17.856426,2297235968
6,11,0.03339843824505806,17.781769,2301266944
6,12,0.03402343764901161,18.217185,2295131136
6,13,0.03425781428813934,17.750492,2295020544
6,14,0.03330077975988388,17.859809,2300173312
7,3,0.0064697265625,20.246545,3742203904
7,6,0.006503906100988388,20.192013,3742185984
7,7,0.006416015792638063,20.180464,3742785024
7,8,0.006459960713982582,20.021111,3742582272
7,9,0.006503906100988388,20.227821,3742646784
7,10,0.0065332031808793545,20.003445,3742315008
7,11,0.0064941407181322575,20.081247,3742711296
7,14,0.006523437332361937,20.378903,3742397952
7,15,0.006342773325741291,20.440324,3742858752
7,16,0.0064697265625,20.351828,3742775808
8,1,0.00020233154646120965,25.667720,1368875008
8,2,0.00019851684919558465,25.588100,1364253696
8,3,0.00019729614723473787,25.492869,1366358016
8,4,0.00019210815662518144,25.748262,1369312768
8,5,0.0001916503970278427,25.761670,1372408320
8,6,0.0001930236758198589,25.744676,1373089792
8,7,0.0001954650942934677,25.704343,1368993792
8,12,0.00019149780564475805,25.752361,1375761408
9,3,0.0064697265625,20.332675,3742203904
9,6,0.006503906100988388,20.332797,3742185984
9,7,0.006416015792638063,20.339583,3742785024
9,8,0.006459960713982582,20.325981,3742582272
9,9,0.006503906100988388,20.318594,3742646784
9,10,0.0065332031808793545,20.262701,3742315008
9,11,0.0064941407181322575,20.336665,3742711296
9,14,0.006523437332361937,20.078924,3742397952
9,15,0.006342773325741291,20.020446,3742858752
9,16,0.0064697265625,20.132450,3742775808
