sentence,position,eps,timing
0,1,0.02119140699505806,52.973644
0,2,0.02193359285593033,53.359747
0,3,0.024003906175494194,52.735520
0,4,0.021953124552965164,52.783852
0,5,0.02187499962747097,52.400687
0,6,0.02187499962747097,52.387326
0,7,0.022519530728459358,52.708672
0,8,0.021894531324505806,52.630952
0,9,0.02294921875,52.571146
0,10,0.021738281473517418,53.006703
0,11,0.021953124552965164,52.813123
0,12,0.021796874701976776,51.886138
0,13,0.02207031287252903,52.442629
0,14,0.02197265625,52.601703
0,15,0.021640624850988388,52.117326
0,16,0.022617187350988388,52.388586
0,17,0.022539062425494194,52.357840
0,18,0.02187499962747097,51.993288
1,1,0.02421874925494194,63.673198
1,2,0.024082031100988388,63.654613
1,3,0.024238280951976776,63.183300
1,4,0.024042969569563866,64.752231
1,5,0.02402343787252903,63.997441
1,6,0.024003906175494194,63.454574
1,7,0.02402343787252903,63.570354
1,8,0.02412109449505806,63.157564
1,9,0.024199219420552254,63.931606
1,10,0.02412109449505806,63.363549
1,11,0.02396484464406967,63.463708
1,12,0.023945312947034836,63.375483
1,13,0.023984374478459358,63.586074
1,14,0.023984374478459358,63.084920
1,15,0.023906249552965164,63.105486
1,16,0.02392578125,63.039140
1,17,0.023984374478459358,62.967559
1,18,0.023906249552965164,63.212656
1,19,0.019990233704447746,65.440598
1,20,0.02388671785593033,63.531693
1,21,0.02396484464406967,63.358397
1,22,0.02396484464406967,63.755380
1,23,0.024355469271540642,64.297823
1,24,0.02388671785593033,65.685328
1,25,0.024003906175494194,65.015818
2,1,0.016533203423023224,44.764984
2,2,0.016582030802965164,46.625492
2,3,0.016435546800494194,45.793463
2,4,0.01664062589406967,46.062826
2,5,0.016230469569563866,44.633056
2,6,0.016660155728459358,45.017596
3,1,0.02578124962747097,51.897651
3,2,0.026210937649011612,51.843426
3,3,0.026093749329447746,52.022468
3,4,0.026035156100988388,51.414297
3,5,0.02597656287252903,50.483009
3,6,0.02578124962747097,50.775280
3,7,0.025898437947034836,52.450408
3,8,0.025937499478459358,51.219506
3,9,0.026601562276482582,51.411054
3,10,0.025957031175494194,52.266707
3,11,0.025996094569563866,52.904899
3,12,0.02591796964406967,52.850775
3,13,0.025937499478459358,52.994432
3,14,0.026093749329447746,53.329659
3,15,0.025859374552965164,53.482805
4,1,0.01583007723093033,50.942406
4,2,0.014873046427965164,49.939175
4,3,0.017246093600988388,47.490996
4,4,0.015087890438735485,49.306557
4,7,0.014316406100988388,49.586727
4,8,0.014560546725988388,50.076161
4,9,0.01425781287252903,51.165336
4,10,0.014453125186264515,50.368915
5,1,0.028984375298023224,51.426283
5,2,0.029296875,50.867265
5,3,0.02949218824505806,51.903881
5,6,0.029082031920552254,50.762101
5,7,0.029277343302965164,51.740747
5,8,0.028691405430436134,49.140251
5,9,0.02925781160593033,49.059172
5,10,0.028964843600988388,50.650235
5,11,0.029453124850988388,50.590015
5,12,0.029062500223517418,49.268201
5,13,0.028828125447034836,48.148966
5,14,0.029218750074505806,47.519718
6,3,0.024003906175494194,47.475820
6,11,0.024140624329447746,47.884935
6,12,0.025136718526482582,47.903970
6,13,0.025234375149011612,47.722502
6,14,0.023867188021540642,47.014197
7,3,0.0026611327193677425,63.215209
7,6,0.002119140699505806,66.780498
7,7,0.001229248009622097,65.080182
7,8,0.0021569824311882257,67.796437
7,9,0.0024999999441206455,62.409935
7,10,0.0025292967911809683,61.775677
7,11,0.002039794810116291,67.555409
7,14,0.0012103271437808871,66.542278
7,15,0.0021862792782485485,68.082513
7,16,0.0021655273158103228,67.006710
8,3,0.0026611327193677425,63.664193
8,6,0.002119140699505806,68.526510
8,7,0.001229248009622097,67.045735
8,8,0.0021569824311882257,67.429432
8,9,0.0024999999441206455,63.347986
8,10,0.0025292967911809683,64.308568
8,11,0.002039794810116291,67.215384
8,14,0.0012103271437808871,66.994798
8,15,0.0021862792782485485,68.279028
8,16,0.0021655273158103228,65.555158
9,1,0.027167968451976776,60.224655
9,2,0.027499999850988388,60.778986
9,3,0.027851562947034836,61.104713
9,4,0.02828124910593033,61.735132
9,5,0.027578124776482582,61.683131
9,6,0.02714843675494194,61.176382
9,7,0.027753906324505806,61.095225
9,8,0.02828124910593033,61.247613
9,9,0.02753906324505806,60.784175
9,10,0.027011718600988388,60.810561
9,11,0.027187500149011612,60.835751
9,12,0.027128906920552254,60.885321
9,13,0.027207031846046448,61.223142
9,14,0.027070311829447746,60.825418
9,15,0.02705078199505806,60.895718
9,16,0.02705078199505806,61.138608
9,17,0.026835937052965164,60.197318
9,20,0.027167968451976776,60.648259
