sentence,position,eps,timing,memory
0,1,0.000232696533203125,65.944238,984385024
0,2,0.0002543640148360282,66.916406,1103382528
0,3,0.0002606201160233468,66.536126,1182713856
0,4,0.0002536010870244354,66.753959,744593920
0,5,0.0002497863897588104,66.411142,863590912
0,6,0.0002406311105005443,67.907942,982587904
0,7,0.0002590942312963307,69.109419,1101584896
0,8,0.0002406311105005443,69.300443,1220581888
0,9,0.0002597045968286693,69.744091,1339578880
0,10,0.00023818969202693552,71.141458,1458575872
0,11,0.0002545166062191129,71.242134,1577572864
0,12,0.0002397155767539516,72.110295,1696569856
0,13,0.00024139403831213713,72.402426,1815566848
0,14,0.00025543212541379035,67.904590,1855232512
0,15,0.00023651123046875,66.519493,784259584
0,16,0.0002578735293354839,67.977003,903256576
0,17,0.0002600097795948386,68.633185,1022253568
0,18,0.00023788452381268144,69.484423,1141250560
1,1,0.0005230712704360485,83.906409,1511902208
1,2,0.0005181884625926614,108.153727,1670811136
1,3,0.0005245971842668951,85.134845,1882689024
1,4,0.0005191040108911693,85.109094,2041597440
1,5,0.0005184936453588307,95.981398,2147536384
1,6,0.0005191040108911693,75.222934,998873088
1,7,0.0005154418759047985,76.580053,1210722304
1,8,0.0005203246837481856,77.275127,1369630720
1,9,0.0005145263858139515,78.671680,1528539136
1,10,0.0005206298665143549,80.630906,1687447552
1,11,0.0005181884625926614,81.612832,1899325440
1,12,0.0005212402320466936,92.147081,2058233856
1,13,0.0005181884625926614,97.593992,2164172800
1,14,0.0005218505975790322,73.938108,995567616
1,15,0.0005203246837481856,77.075345,1154476032
1,16,0.0005184936453588307,80.391415,1366353920
1,17,0.0005227660876698792,79.529368,1525473280
1,18,0.0005154418759047985,91.303466,1684381696
1,19,0.0005194091936573386,80.971963,1843290112
1,20,0.0005191040108911693,93.521448,2055168000
1,21,0.0005194091936573386,82.593000,2214076416
1,22,0.0005166626069694757,93.564632,2372984832
1,23,0.0005233764532022178,79.636943,2478923776
1,24,0.0005181884625926614,75.636556,1048537088
1,25,0.0005197143764235079,75.912275,1207445504
2,1,2.8324127924861386e-05,92.295845,1022655488
2,2,2.8476715669967234e-05,89.743730,982910464
2,3,2.841949390131049e-05,90.038572,1296698368
2,4,2.7961730665992945e-05,90.479511,1256952832
2,5,2.817154017975554e-05,88.635892,1570740736
2,6,2.7770996894105338e-05,89.790619,1530995200
3,1,6.912231765454635e-05,72.680088,885829632
3,2,6.89697262714617e-05,72.256344,991391744
3,3,6.88552827341482e-05,71.133946,939633152
3,4,6.855010724393651e-05,74.837815,1308078592
3,5,6.874084647279233e-05,75.150274,1690270720
3,6,6.877899431856349e-05,74.539753,1795832320
3,7,6.851195939816535e-05,75.101640,1744073728
3,8,6.862640293547884e-05,76.079699,2112519168
3,9,7.05718994140625e-05,76.394850,2493793792
3,10,6.839752313680947e-05,71.367683,903846400
3,11,6.862640293547884e-05,70.343116,973315072
3,12,6.851195939816535e-05,73.356387,1220533248
3,13,6.843567098258063e-05,73.914271,1602725376
3,14,6.83593752910383e-05,73.887608,1708286976
3,15,6.855010724393651e-05,74.998721,1777755648
4,1,0.00016418457380495965,136.054542,1660880384
4,2,0.00016220092948060483,129.903613,1734264832
4,3,0.00016525268438272178,107.716498,1807648768
4,4,0.0001631164486752823,101.876774,692983296
4,7,0.00014884948905091733,106.425493,766367744
4,8,0.00015571594121865928,105.233522,839751680
4,9,0.00014640808512922376,102.125504,913135616
4,10,0.00015174865256994963,104.209481,986519552
5,1,2.5119781639659777e-05,146.204742,1531674624
5,2,2.531051723053679e-05,147.332019,2158000128
5,3,2.5215149435098283e-05,146.922032,2068312064
5,6,2.500533992133569e-05,146.778574,2694637056
5,7,2.5119781639659777e-05,112.457758,2258900480
5,8,2.5215149435098283e-05,117.734730,1508039680
5,9,2.4948119971668348e-05,116.561295,1418351616
5,10,2.4929046048782766e-05,133.448817,2044676608
5,11,2.513885556254536e-05,143.736382,1954988544
5,12,2.517700158932712e-05,142.553470,2581313536
5,13,2.4929046048782766e-05,139.704261,2491625472
5,14,2.502441384422127e-05,141.941253,3117950464
6,3,7.77053865022026e-05,115.032936,2770462208
6,11,7.728576747467741e-05,108.294902,945841664
6,12,7.858276512706652e-05,111.316615,1290097664
6,13,7.827758963685483e-05,109.294494,1386288128
6,14,7.415771688101813e-05,123.523298,1482478592
7,3,0.0006811523344367743,85.659118,1749311488
7,6,0.0006799316615797579,87.922332,1822439936
7,7,0.0006585693336091936,87.946949,2008621568
7,8,0.0006823730655014515,83.085374,2082667008
7,9,0.0006634521414525807,76.821011,1067421184
7,10,0.0007183838170021772,77.597665,1508733952
7,11,0.0006658935453742743,76.760638,1694479360
7,14,0.0006683349492959678,78.660359,2135792128
7,15,0.0006542968912981451,79.546716,2322455040
7,16,0.0006585693336091936,79.737962,2763767808
8,3,0.0006811523344367743,81.392457,2949523456
8,6,0.0006799316615797579,82.697687,3390836736
8,7,0.0006585693336091936,80.589947,3539800064
8,8,0.0006823730655014515,77.695763,1030639104
8,9,0.0006634521414525807,78.725719,1216384512
8,10,0.0007183838170021772,78.959152,1657697280
8,11,0.0006658935453742743,79.654720,1843442688
8,14,0.0006683349492959678,78.460998,2284755456
8,15,0.0006542968912981451,80.865014,2470500864
8,16,0.0006585693336091936,80.539385,2911813632
9,1,0.0006042480235919356,80.624429,2885019136
9,2,0.0006048583891242743,74.171737,801180672
9,3,0.0006082153413444757,75.149926,980552704
9,4,0.0006628417759202421,81.171324,1425175552
9,5,0.0006079101585783064,76.451438,1249217536
9,6,0.0006036377162672579,77.821405,1428589568
9,7,0.0006097411969676614,79.151409,1562921984
9,8,0.0006542968912981451,84.902160,2143870976
9,9,0.0006072997930459678,79.597126,2322457088
9,10,0.0006048583891242743,74.523083,2298064384
9,11,0.0006060791201889515,74.126728,933809152
9,12,0.0006060791201889515,74.251255,1068141568
9,13,0.0006069946102797985,75.904016,1202473984
9,14,0.0006042480235919356,77.745066,1381846016
9,15,0.0006076049758121371,78.037597,1516178432
9,16,0.0006060791201889515,78.413477,1651297280
9,17,0.0006008911295793951,78.941985,1785629696
9,20,0.0006076049758121371,79.918263,1965001728
