sentence,position,eps,timing
0,1,0.10796874761581421,131.038385
0,2,0.11078125238418579,131.233821
0,3,0.12109375,129.154178
0,4,0.11156249791383743,129.998307
0,5,0.11078125238418579,129.534499
0,6,0.11101562529802322,129.721202
0,7,0.11531250178813934,128.114011
0,8,0.1106249988079071,128.176854
0,9,0.11625000089406967,130.844109
0,10,0.10960937291383743,130.183288
0,11,0.11195312440395355,131.082554
0,12,0.11124999821186066,129.709565
0,13,0.11164062470197678,131.416163
0,14,0.11242187768220901,131.606803
0,15,0.10999999940395355,130.060677
0,16,0.11367187649011612,128.807503
0,17,0.11757812649011612,130.994764
0,18,0.11078125238418579,131.942353
1,1,0.07722656428813934,169.224095
1,2,0.07722656428813934,170.346779
1,3,0.07746093720197678,169.022821
1,4,0.07792969048023224,167.170273
1,5,0.07769531011581421,164.508284
1,6,0.07859375327825546,162.015232
1,7,0.07750000059604645,166.654313
1,8,0.07777343690395355,167.142044
1,9,0.078125,165.779833
1,10,0.08031249791383743,150.318644
1,11,0.0778515636920929,165.472670
1,12,0.07808593660593033,161.785250
1,13,0.07878906279802322,165.105292
1,14,0.0778515636920929,164.325202
1,15,0.07824219018220901,164.864395
1,16,0.07871093600988388,167.278366
1,17,0.07851562649011612,166.299367
1,18,0.07769531011581421,167.461756
1,19,0.0788281261920929,166.208786
1,20,0.07871093600988388,165.413271
1,21,0.07890625298023224,164.302060
1,22,0.07804687321186066,167.077287
1,23,0.07640624791383743,165.248869
1,24,0.07871093600988388,163.266248
1,25,0.07863280922174454,162.948890
2,1,0.10187499970197678,87.004618
2,2,0.10187499970197678,86.636501
2,3,0.10234375298023224,86.961721
2,4,0.1022656261920929,86.908299
2,5,0.10335937142372131,86.869271
2,6,0.10249999910593033,87.142715
3,1,0.13843749463558197,111.964687
3,2,0.13789062201976776,112.246339
3,3,0.13750000298023224,111.136515
3,4,0.13671875,111.336196
3,5,0.13835936784744263,111.844037
3,6,0.1374218761920929,112.590238
3,7,0.138671875,111.905124
3,8,0.138671875,110.787200
3,9,0.13578124344348907,110.859894
3,10,0.13859374821186066,112.059703
3,11,0.13843749463558197,112.172957
3,12,0.1385156214237213,112.214258
3,13,0.138671875,111.037760
3,14,0.1381250023841858,111.409171
3,15,0.1388281285762787,111.709009
4,1,0.11304687708616257,96.871340
4,2,0.103515625,95.585231
4,3,0.11468750238418579,96.128288
4,4,0.10335937142372131,95.180871
4,7,0.09968750178813934,94.340721
4,8,0.10125000029802322,95.841981
4,9,0.09937500208616257,96.094480
4,10,0.10109374672174454,95.066462
5,1,0.13718749582767487,108.382873
5,2,0.1372656226158142,107.938413
5,3,0.13734374940395355,109.144224
5,6,0.13843749463558197,111.379614
5,7,0.13835936784744263,111.454253
5,8,0.1374218761920929,111.202570
5,9,0.13859374821186066,111.172744
5,10,0.13773436844348907,110.474426
5,11,0.13757812976837158,111.159367
5,12,0.13781249523162842,111.517575
5,13,0.13804687559604645,111.622355
5,14,0.1388281285762787,111.021616
6,3,0.11992187798023224,110.761849
6,11,0.11937499791383743,110.945052
6,12,0.12476562708616257,109.838622
6,13,0.12617187201976776,110.701138
6,14,0.11898437142372131,110.201212
7,3,0.07437500357627869,131.430745
7,6,0.07503905892372131,130.875589
7,7,0.07445312291383743,131.452731
7,8,0.07480468600988388,130.382451
7,9,0.07539062201976776,130.299363
7,10,0.07796874642372131,123.400725
7,11,0.07453124970197678,123.116286
7,14,0.07523437589406967,121.973041
7,15,0.07550781220197678,122.184006
7,16,0.07500000298023224,121.662339
8,3,0.07437500357627869,122.184425
8,6,0.07503905892372131,122.480869
8,7,0.07445312291383743,121.404389
8,8,0.07480468600988388,121.566697
8,9,0.07539062201976776,122.061196
8,10,0.07796874642372131,123.800107
8,11,0.07453124970197678,124.549503
8,14,0.07523437589406967,124.349111
8,15,0.07550781220197678,124.809872
8,16,0.07500000298023224,123.522249
9,1,0.13062499463558197,146.625924
9,2,0.1321093738079071,147.733717
9,3,0.1307031214237213,147.084365
9,4,0.12914063036441803,147.903501
9,5,0.12921875715255737,146.885915
9,6,0.1328125,149.203149
9,7,0.12812499701976776,147.428766
9,8,0.12898437678813934,147.495150
9,9,0.12851563096046448,146.754449
9,10,0.1328125,145.793560
9,11,0.1296093761920929,149.096038
9,12,0.12992186844348907,147.725966
9,13,0.12937499582767487,147.864213
9,14,0.13148437440395355,147.059567
9,15,0.1296093761920929,141.045138
9,16,0.13062499463558197,139.549286
9,17,0.13320311903953552,142.154846
9,20,0.1287499964237213,141.538597
