sentence,position,eps,timing,memory
0,1,1.846250057220459,25.625589,5191577088
0,2,1.8962500095367432,25.188419,5190501376
0,3,1.933750033378601,25.669167,5194067968
0,4,1.8937499523162842,25.678471,5191065600
0,5,1.8937499523162842,25.283769,5191168000
0,6,1.8962500095367432,25.814344,5191147520
0,7,1.8912500143051147,25.595791,5194057728
0,8,1.8862500190734863,25.916399,5191383040
0,9,1.8949999809265137,25.686768,5194313728
0,10,1.881250023841858,25.648718,5191352320
0,11,1.8862500190734863,25.191061,5191372800
0,12,1.881250023841858,25.496183,5191290880
0,13,1.8925000429153442,26.230126,5191393280
0,14,1.8837499618530273,26.304238,5192244224
0,15,1.8762500286102295,26.266989,5191383040
0,16,1.903749942779541,26.270997,5194405888
0,17,1.9075000286102295,26.109243,5194027008
0,18,1.8875000476837158,25.663272,5191485440
1,1,2.5487499237060547,33.485307,7855601152
1,2,2.526249885559082,33.737494,7855891968
1,3,2.5512499809265137,34.304962,7855560192
1,4,2.5374999046325684,34.394408,7855795200
1,5,2.5112500190734863,34.503760,7855974912
1,6,2.5374999046325684,33.657272,7855850496
1,7,2.476249933242798,33.557322,7857233920
1,8,2.5487499237060547,34.045049,7855560192
1,9,2.5112500190734863,34.466093,7856071680
1,10,2.541249990463257,34.208203,7855684608
1,11,2.5225000381469727,33.237085,7855905792
1,12,2.5512499809265137,33.289792,7855504896
1,13,2.53125,34.193769,7855809024
1,14,2.5487499237060547,33.638953,7855615488
1,15,2.543750047683716,33.475649,7855712256
1,16,2.543750047683716,33.480764,7855560192
1,17,2.5537500381469727,33.556800,7855380480
1,18,2.494999885559082,33.916203,7856292864
1,19,2.5374999046325684,33.802418,7855767552
1,20,2.541249990463257,33.404625,7855643136
1,21,2.538749933242798,33.399377,7855753728
1,22,2.4887499809265137,33.929677,7856306688
1,23,2.575000047683716,33.437429,7885395968
1,24,2.526249885559082,33.661574,7855891968
1,25,2.546250104904175,33.417903,7855546368
2,1,1.4800000190734863,19.112379,319084544
2,2,1.496250033378601,19.186852,318667264
2,3,1.493749976158142,19.114974,319537664
2,4,1.4824999570846558,19.086993,318841344
2,5,1.4512499570846558,19.017853,321823232
2,6,1.4862500429153442,18.920343,320676352
3,1,2.2100000381469727,22.960896,3196267520
3,2,2.367500066757202,22.884387,3026646016
3,3,2.3612499237060547,22.619206,3032135168
3,4,2.358750104904175,22.976393,3035845120
3,5,2.3662500381469727,22.926105,3027162624
3,6,2.1449999809265137,22.841395,3218798080
3,7,2.346250057220459,22.859804,3040040448
3,8,2.353749990463257,23.019912,3036443136
3,9,2.424999952316284,22.954829,2998531072
3,10,2.3399999141693115,23.056879,3040838656
3,11,2.3399999141693115,23.164735,3039804928
3,12,2.3550000190734863,23.102939,3034378240
3,13,2.3550000190734863,23.267300,3034646016
3,14,2.348750114440918,22.912417,3036443136
3,15,2.3550000190734863,23.196681,3035245568
4,1,1.502500057220459,20.131384,838389248
4,2,1.4912500381469727,20.368822,831861248
4,3,1.5362499952316284,20.391439,838448128
4,4,1.4850000143051147,20.355934,832844800
4,7,1.465000033378601,20.454580,833590784
4,8,1.472499966621399,20.456821,832925696
4,9,1.4550000429153442,20.443202,833715712
4,10,1.4762500524520874,20.262587,832762880
5,1,2.8324999809265137,21.870236,2559491584
5,2,2.827500104904175,22.023197,2565114880
5,3,2.8375000953674316,22.022628,2566213632
5,6,2.817500114440918,21.975111,2586952704
5,7,2.8350000381469727,21.805918,2570457088
5,8,2.7300000190734863,21.897501,2526553088
5,9,2.8375000953674316,22.011112,2565009408
5,10,2.7825000286102295,21.708857,2521547776
5,11,2.872499942779541,22.010531,2565550080
5,12,2.887500047683716,22.011682,2545732096
5,13,2.799999952316284,21.757028,2521252864
5,14,2.8575000762939453,21.782268,2570457088
6,3,1.9837499856948853,21.885286,2534063616
6,11,1.9787499904632568,22.184507,2547249152
6,12,1.9487500190734863,22.244130,2594853888
6,13,2.0012500286102295,22.400583,2597784576
6,14,1.9774999618530273,21.832076,2540488192
7,3,0.6568750143051147,25.916543,3811288064
7,6,0.6487500071525574,25.964108,3811528192
7,7,0.65625,25.836791,3812284928
7,8,0.6556249856948853,25.934569,3811786240
7,9,0.6575000286102295,26.294293,3811804672
7,10,0.6537500023841858,26.206728,3811555840
7,11,0.659375011920929,25.890060,3811841536
7,14,0.6556249856948853,26.116438,3811611136
7,15,0.6625000238418579,26.576104,3812229632
7,16,0.6581249833106995,25.969488,3812119040
8,1,0.037714842706918716,31.086387,1577650176
8,2,0.036308594048023224,31.364160,1577514496
8,3,0.038750000298023224,31.340806,1577528832
8,4,0.03773437440395355,31.359444,1580294144
8,5,0.03734375163912773,31.300917,1578011648
8,6,0.03744140639901161,31.470821,1577701376
8,7,0.03720702975988388,31.445643,1582258688
8,12,0.03658203035593033,31.082593,1580642816
9,3,0.6568750143051147,26.004095,3811288064
9,6,0.6487500071525574,26.110501,3811528192
9,7,0.65625,26.034627,3812284928
9,8,0.6556249856948853,25.970321,3811786240
9,9,0.6575000286102295,25.893151,3811804672
9,10,0.6537500023841858,26.161022,3811555840
9,11,0.659375011920929,26.359073,3811841536
9,14,0.6556249856948853,26.295835,3811611136
9,15,0.6625000238418579,26.123316,3812229632
9,16,0.6581249833106995,26.304609,3812119040
