sentence,position,eps,timing,memory
0,10,0.021015625447034836,828.940425,5252939264
1,13,0.0419921875,2168.451778,11184224256
2,4,0.016035156324505806,317.795367,858804224
3,12,0.03167968615889549,747.538445,3835013632
4,7,0.012050781399011612,347.071307,1864415744
5,11,0.02919921837747097,650.532197,3094834176
6,3,0.018339844420552254,665.383882,3151392768
7,6,0.009926757775247097,725.442374,4216762880
8,3,0.010556641034781933,670.930536,4108496896
9,2,0.033476561307907104,1065.597969,6740112384
