sentence,position,eps,timing,memory
0,10,0.021015625447034836,822.582007,5239836160
1,13,0.0419921875,2135.782627,11133552640
2,4,0.016035156324505806,339.834306,809093632
3,12,0.03167968615889549,779.921959,3785300992
4,7,0.012050781399011612,375.322528,1814965760
5,11,0.02919921837747097,664.731705,3094830080
6,3,0.018339844420552254,661.346952,3151388672
7,6,0.009926757775247097,760.093642,4205357568
8,3,0.010556641034781933,735.774845,4107388416
9,2,0.033476561307907104,1123.229993,6741010432
