sentence,position,eps,timing,memory
0,10,0.038945313543081284,1859.351964,2649927680
1,13,0.04374999925494194,1110.625245,4777465344
2,4,0.026230469346046448,779.253736,296990720
3,12,0.043828126043081284,1673.648744,1580792320
4,7,0.03349609300494194,1112.144502,552485376
5,11,0.06093750149011612,1461.250526,1309967872
6,3,0.05249999836087227,1466.748170,1309988352
7,6,0.014433593489229679,1624.226534,1890113024
8,3,0.015009765513241291,1627.446018,1890172928
9,2,0.034355469048023224,2039.903754,3637649408
