sentence,position,eps,timing,memory
0,10,0.038945313543081284,1643.653605,2649927680
1,13,0.04374999925494194,963.792022,4777465344
2,4,0.026230469346046448,327.978117,299572224
3,12,0.043828126043081284,1457.747554,1580792320
4,7,0.03349609300494194,628.065920,552485376
5,11,0.06093750149011612,1130.828785,1309967872
6,3,0.05249999836087227,1133.911298,1309988352
7,6,0.014433593489229679,1422.153075,1890113024
8,3,0.015009765513241291,1425.271166,1890172928
9,2,0.034355469048023224,1817.476991,3637649408
