sentence,position,eps,timing,memory
0,1,7.164001726778224e-05,33.907259,727533056
0,2,8.125304884742945e-05,37.558132,834441216
0,3,7.545471453340724e-05,34.206026,861168128
0,4,8.193969551939517e-05,36.698471,1030964224
0,5,7.644653669558465e-05,34.309577,758330880
0,6,8.262634219136089e-05,37.798576,838511616
0,7,8.064269786700606e-05,38.103714,918692352
0,8,8.155822433764115e-05,38.230946,1378414080
0,9,8.438110671704635e-05,38.790744,1443019776
0,10,9.231567673850805e-05,39.675123,1185961472
0,11,8.74328616191633e-05,38.898869,1266142208
0,12,8.255004649981856e-05,36.644941,651423232
0,13,0.00010864257637877017,37.401350,731603968
0,14,8.537292160326615e-05,38.136508,811784704
0,15,9.513855184195563e-05,38.166256,891965440
0,16,8.697509474586695e-05,38.607620,998873088
0,17,9.864807361736894e-05,39.173705,1079053824
0,18,9.69696047832258e-05,39.544632,1159234560
1,1,2.2296904717222787e-05,37.860709,896030208
1,2,2.210617094533518e-05,37.971543,931200512
1,3,2.0561217752401717e-05,35.814077,266296320
1,4,2.170562765968498e-05,36.116168,301466112
1,5,1.5392302884720266e-05,38.635231,336635904
1,6,2.649307316460181e-05,34.548091,371805696
2,1,3.448486313573085e-05,36.629740,684489216
2,2,5.851745663676411e-05,37.148687,755252736
2,3,5.493163916980848e-05,37.396173,826015744
2,4,5.683898780262098e-05,37.667069,896778752
2,5,5.435943603515625e-05,37.185824,967541760
2,6,4.447936953511089e-05,34.206578,555057664
2,7,5.653381231240928e-05,34.861535,625820672
2,8,5.817413330078125e-05,35.205758,696583680
2,9,5.523681466002017e-05,35.725674,767346688
2,10,6.21414219494909e-05,35.985090,839027200
2,11,6.168365507619455e-05,36.441712,908872704
2,12,6.64520266582258e-05,36.632002,979635712
2,13,6.870269862702116e-05,36.832502,1050398720
2,14,5.226135181146674e-05,34.420176,1074292224
2,15,7.373809785349295e-05,33.789251,602844672
3,1,3.778457539738156e-05,48.939657,506635264
3,2,4.2877196392510086e-05,47.805524,556809216
3,3,2.8476715669967234e-05,48.888256,606982656
3,4,5.0659178668865934e-05,46.805003,657156096
3,7,3.986358569818549e-05,46.567458,707329536
3,8,4.27627564931754e-05,46.900893,757502976
3,9,3.871917579090223e-05,46.768268,807676416
3,10,4.726410043076612e-05,45.481064,857849856
4,1,4.940032886224799e-05,43.977140,499959808
4,2,5.264282299322076e-05,44.439093,565137408
4,3,5.546569809666835e-05,46.214978,630314496
4,6,4.463195728021674e-05,46.837289,695491584
4,7,5.3520201618084684e-05,49.411165,760668672
4,8,4.3907166400458664e-05,49.403264,825845760
4,9,5.008697553421371e-05,49.864358,891022848
4,10,5.22994996572379e-05,50.110023,956199936
4,11,5.702972339349799e-05,49.765825,1021377024
4,12,5.741119457525201e-05,46.177854,504953856
4,13,4.299163992982358e-05,45.829220,570130944
4,14,5.481719927047379e-05,44.427897,635308032
5,3,0.00010070800635730848,51.568678,700494336
5,11,8.972168143372983e-05,51.940712,787397632
5,12,9.521484025754035e-05,51.882012,852574720
5,13,0.00010848999227164313,53.560562,917751808
5,14,9.918212890625e-05,53.777951,1307942400
6,1,0.0001026916506816633,38.003031,699198464
6,2,9.597778262104839e-05,38.945044,818468352
6,3,0.00010253905929857865,38.992776,908510208
6,4,0.00010437011951580644,39.457225,998552064
6,5,0.00010215759539278224,39.964911,1087807488
6,6,9.521484025754035e-05,40.519528,1207863296
6,7,0.00010513305460335687,41.444153,1297118720
6,8,0.00011398315109545365,41.724335,1387160576
6,9,0.00010368347284384072,41.192863,1477202432
6,10,0.00010986327833961695,37.214396,737491456
6,11,9.552002302370965e-05,37.852495,826746880
6,12,0.00010368347284384072,38.557809,916788736
6,13,0.00010444640793139115,39.128257,1006830592
6,14,9.864807361736894e-05,39.731906,1126099968
6,15,0.00010780334559967741,40.223743,1216141824
6,16,0.00011245727364439517,40.643265,1305397248
6,17,0.00011116027599200606,40.976522,1395439104
6,20,0.00011940002150367945,37.878981,1424666624
7,1,4.440307748154737e-05,43.394045,1002143744
7,2,3.8795471482444555e-05,43.448526,1115679744
7,3,4.4937132770428434e-05,47.800534,1229749760
7,7,4.57763671875e-05,47.912949,1343885312
7,8,5.3100586228538305e-05,47.922722,1458086400
7,12,4.234314110362902e-05,47.894591,1572353024
7,13,4.6615601604571566e-05,48.120673,1686423040
7,14,3.9405822462867945e-05,44.401820,1724468224
7,15,3.755569559871219e-05,43.219501,945795072
7,16,4.699706914834678e-05,43.157383,1059191296
7,17,4.5127868361305445e-05,43.529077,1174131712
7,18,4.627227826858871e-05,47.552968,1287798272
7,19,4.013061698060483e-05,47.718817,1402112000
7,20,5.0239563279319555e-05,43.999224,1516247552
7,21,4.421234189067036e-05,47.746927,1630626816
7,22,4.127502324990928e-05,47.945985,1744584192
7,23,3.9043425203999504e-05,48.083643,1859141632
7,24,4.8599242290947586e-05,43.771031,1896943104
7,25,5.142211739439517e-05,43.238789,979504640
7,26,4.631042611435987e-05,43.210417,1092993024
7,27,5.073547436040826e-05,43.523287,1208375808
8,1,0.00010986327833961695,39.314268,1071089152
