sentence,position,eps,timing,memory
0,1,5.476176845320424e-09,51.853921,987749376
0,2,5.52739942705216e-09,48.667395,981259776
0,3,7.348134989371147e-09,53.610696,1124628992
0,4,6.7241487933245025e-09,56.645008,1515735040
0,5,8.107162940973467e-09,56.890254,1891636224
0,6,5.075707854018674e-09,57.962361,2217518592
0,7,9.038485515588945e-09,51.029231,2608624640
1,1,2.5285407101449664e-09,49.047836,2320970240
1,2,2.38418573772492e-09,51.157856,3873427456
1,3,3.324821529204769e-09,52.845915,4359516672
1,4,2.38418573772492e-09,54.844639,5498786816
1,9,2.38418573772492e-09,53.163640,6378260992
1,10,3.594905040316121e-09,49.691089,2356627968
1,11,2.38418573772492e-09,50.754043,3138318848
1,12,4.3888577216932845e-09,52.079580,4016212992
1,13,4.540197551250458e-09,52.966534,4797117440
1,14,2.38418573772492e-09,55.391903,5675011584
1,15,4.6566128730773926e-09,53.636863,6454814208
1,16,2.38418573772492e-09,48.768448,2137015296
1,17,2.38418573772492e-09,50.326409,3337377792
1,18,2.38418573772492e-09,50.369728,3838756352
1,19,2.38418573772492e-09,51.368857,5042811392
1,20,2.6170163813787894e-09,52.594834,5540497408
2,1,5.5351258197333664e-05,47.989712,4926099456
2,2,6.965637294342741e-05,39.239804,453632000
2,3,8.430481102550402e-05,43.411884,543875072
2,4,8.20159912109375e-05,43.924876,611557376
2,5,9.384155418956652e-05,44.291953,701800448
2,6,7.747649942757562e-05,41.184573,792043520
2,7,8.605956827523187e-05,45.946062,859725824
2,8,9.193420555675402e-05,44.975776,949968896
2,9,0.00011375427129678428,46.963905,431071232
3,1,2.1830200580552628e-07,51.859707,996295680
3,2,2.150237605746952e-07,51.714382,1330874368
3,3,2.3111701352718228e-07,51.266488,1243870208
3,4,2.1979212760925293e-07,59.177988,1418085888
3,5,2.1949409756416571e-07,59.319773,1927209984
3,6,2.2783875408549648e-07,57.023627,2261788160
3,7,2.513826018457621e-07,53.227119,2174784000
3,8,2.8192997092446603e-07,53.270481,782362112
3,9,2.7492643539517303e-07,58.677657,1315985920
3,10,2.816319408793788e-07,58.245241,1675063808
3,11,3.2424927098873013e-07,54.069859,1652485120
4,1,7.483176744926823e-09,55.666495,1918782464
4,2,8.489005054457266e-09,57.067143,2249282560
4,3,9.909272513652922e-09,46.935867,2637438976
4,4,1.0076909973122383e-08,46.324183,982454784
4,5,1.0142103157306792e-08,47.162453,1280825344
4,6,1.0747462475535485e-08,47.988956,1640881152
4,7,1.010485028984931e-08,48.983034,1839813632
4,8,1.2908130564426301e-08,47.933984,2240629760
5,1,2.2307038705093873e-07,48.999768,2410663424
5,2,2.281367841305837e-07,50.171059,1009631232
5,3,2.8565526122292795e-07,52.296859,1344209920
5,4,2.7015803993890586e-07,51.641723,1678788096
5,5,2.515315884465963e-07,52.657612,1591783936
5,6,3.194809039541724e-07,52.418379,1739637760
5,7,2.777576355583733e-07,56.226778,2125078016
5,8,3.1501053854299244e-07,55.759803,2658701824
5,9,3.4451485930730996e-07,48.450021,2319271936
5,10,2.7209520681026333e-07,57.148875,1265124352
5,11,2.835691077507363e-07,57.859582,1599702528
6,1,7.653236025362276e-06,33.033656,1723128832
6,2,9.579658581060357e-06,33.999070,1881841152
6,3,8.730888112040702e-06,34.893400,2040749568
6,4,9.937286449712701e-06,34.952011,2199657984
6,5,1.2063979738741182e-05,35.066084,2358566400
6,6,1.2302398317842744e-05,41.630722,2517474816
6,7,1.3704299817618448e-05,31.917382,950427648
6,8,1.1148452358611394e-05,31.756532,1109336064
6,9,1.2559890819829889e-05,32.546318,1268441088
6,10,1.4533996363752522e-05,32.362581,1427152896
6,11,1.1730194273695815e-05,32.508950,1586061312
6,12,1.4047622244106606e-05,32.284865,1744969728
6,13,1.4123917026154231e-05,32.728872,1903878144
6,14,1.010894811770413e-05,34.946553,2062786560
6,15,1.3198852684581652e-05,40.756573,2221694976
6,19,1.3952255358162802e-05,32.214936,2274664448
6,20,1.256942778127268e-05,31.444580,1056366592
6,21,1.3580322047346272e-05,31.966172,1215275008
6,22,1.3208389646024443e-05,31.922887,1374197760
6,23,1.4381408618646674e-05,33.163409,1533106176
6,24,1.352310209767893e-05,33.186792,1692014592
6,25,1.3093947927700356e-05,34.422003,1850923008
7,1,2.9187649630557644e-08,53.208646,1698130944
7,2,3.011897220517312e-08,51.691167,1992416768
7,3,3.313645891012129e-08,47.103877,2288835072
7,4,3.803521408940469e-08,45.141047,864377344
7,5,2.97464435305983e-08,44.888540,1142728192
7,6,4.213303483879827e-08,42.892525,1410017792
8,1,2.987217140315579e-09,67.055011,2555641856
8,2,3.61818819349935e-09,69.211681,3330554880
8,6,4.528556196703448e-09,63.231214,3873035264
8,7,5.965121285811392e-09,60.915544,1681483776
8,8,3.594905040316121e-09,64.745949,2464097280
8,9,3.5343692417200145e-09,67.538975,3208886784
8,10,3.6903657907316756e-09,69.266384,3781490176
8,11,4.228204453227136e-09,68.078425,4518915072
8,12,4.1886232260424094e-09,61.313755,5263704576
8,13,2.38418573772492e-09,60.375125,1584847872
8,14,3.5855918234517503e-09,65.859083,2375800832
9,1,2.1830200580552628e-07,61.308349,2451158528
9,2,2.150237605746952e-07,59.154509,2785737216
9,3,2.3111701352718228e-07,59.067918,2877107712
9,4,2.1979212760925293e-07,54.528807,2820225024
9,5,2.1949409756416571e-07,50.028286,808723968
9,6,2.2783875408549648e-07,54.401932,1317848064
9,7,2.513826018457621e-07,53.475957,1652426240
9,8,2.8192997092446603e-07,54.188004,1565422080
9,9,2.7492643539517303e-07,58.278584,1739637760
9,10,2.816319408793788e-07,60.088209,2273261568
9,11,3.2424927098873013e-07,54.559241,2632339456
