sentence,position,eps,timing,memory
0,1,0.004123535007238388,62.987454,756769280
0,2,0.004011230543255806,62.899758,757139456
0,3,0.004399414174258709,62.997977,756769792
0,4,0.004172363318502903,63.756295,756769792
0,5,0.004626465030014515,63.976586,756769792
0,6,0.003828125074505806,62.167717,758871040
0,7,0.0046801757998764515,64.096991,756769792
1,1,0.00014106750313658267,134.441651,6678111744
1,2,0.00015144348435569555,134.560605,6702651392
1,3,0.00017822266090661287,110.780152,6699789312
1,4,0.00020019531075377017,104.262038,6676705280
1,9,0.00025390624068677425,104.345234,6676705280
1,10,0.00016647338634356856,101.585315,6676705280
1,11,0.00016159057850018144,97.755414,6676705280
1,12,0.0003124999930150807,129.850499,6676705280
1,13,0.0001681518624536693,106.193775,6676705280
1,14,0.00016357422282453626,113.676188,6676705280
1,15,0.0001968383730854839,105.765526,6676705280
1,16,0.00014854430628474802,135.979412,6676704256
1,17,0.0001748657232383266,116.777041,6676705280
1,18,0.00015373229689430445,153.302705,6676705280
1,19,5.7945249864133075e-05,183.641974,6676705280
1,20,0.0001535034243715927,137.549291,6676705280
2,1,0.0044189454056322575,74.418061,967082496
2,2,0.005571288987994194,76.776843,973383680
2,3,0.0069580078125,77.590570,971335680
2,4,0.007041015662252903,78.033166,969182208
2,5,0.007885742001235485,79.433711,971342848
2,6,0.0067138671875,73.660260,969182208
2,7,0.007456054911017418,72.836394,971336704
2,8,0.007597656454890966,72.441790,969182208
2,9,0.009267577901482582,72.578434,967081984
3,1,0.0038085938431322575,76.060942,1452634624
3,2,0.0033666992094367743,75.640271,1452635136
3,3,0.0037353516090661287,75.891080,1451842048
3,4,0.0029418945778161287,74.302399,1452635136
3,5,0.0035766600631177425,75.317364,1451719168
3,6,0.0034155272878706455,75.895322,1452635136
3,7,0.003828125074505806,75.917475,1452635136
3,8,0.00445556640625,75.258430,1451719168
3,9,0.004155273549258709,75.770733,1452274688
3,10,0.0037719726096838713,75.680534,1452635136
3,11,0.0045312498696148396,75.759302,1447519744
4,1,0.002973632887005806,60.723424,857344512
4,2,0.003005371196195483,60.872291,855244800
4,3,0.0032324218191206455,61.021620,855244800
4,4,0.0026489258743822575,60.308669,855244800
4,5,0.0034985351376235485,61.515089,855243776
4,6,0.0032226562034338713,61.327394,855243776
4,7,0.003935547079890966,62.198753,855245824
4,8,0.004265136551111937,62.277297,855243776
5,1,0.0031640625093132257,74.098516,1452634624
5,2,0.003117675893008709,74.357745,1452561920
5,3,0.003889160230755806,75.379988,1452635136
5,4,0.0034912109840661287,76.529006,1452361216
5,5,0.002976074116304517,80.776658,1452635136
5,6,0.0045190430246293545,82.761590,1446290432
5,7,0.0034497070591896772,82.489418,1452361216
5,8,0.004499511793255806,82.486822,1447519744
5,9,0.004794921725988388,82.749049,1443911168
5,10,0.0035278319846838713,81.983825,1452174848
5,11,0.003999023232609034,82.617798,1452635136
6,1,0.0019372558454051614,165.072783,7570973184
6,2,0.0023840332869440317,165.663665,7547891712
6,3,0.0017724609933793545,157.178859,7582256640
6,4,0.0023828125558793545,159.930868,7548312064
6,5,0.0028051757253706455,156.531274,7582228992
6,6,0.0026171875651925802,157.248873,7582256640
6,7,0.0030786131974309683,160.138139,7582256640
6,8,0.0025830077938735485,156.068853,7582256640
6,9,0.0027368164155632257,157.027175,7582256640
6,10,0.003127441508695483,158.058410,7582256640
6,11,0.0026611327193677425,156.935323,7582256640
6,12,0.0029833985026925802,157.200939,7573998592
6,13,0.0030932617373764515,166.918112,7582256640
6,14,0.0021252441219985485,168.040962,7559364608
6,15,0.0028173828031867743,166.227159,7581619712
6,19,0.0030224609654396772,168.759033,7582256640
6,20,0.0026538085658103228,166.088937,7582256640
6,21,0.0029028321150690317,166.382273,7579367424
6,22,0.0029174804221838713,165.594380,7575170048
6,23,0.0031152344308793545,168.425151,7582256640
6,24,0.0029296875,167.216438,7575865856
6,25,0.0028955077286809683,166.758822,7579366400
7,1,0.003090820275247097,59.223283,666885632
7,2,0.002802734263241291,58.527340,667937792
7,3,0.0019909667316824198,60.444618,667936768
7,4,0.003342285053804517,59.473042,666898432
7,5,0.0020373535808175802,60.803455,666923008
7,6,0.003745117224752903,59.897965,667937792
8,1,1.9607543435995467e-05,92.922069,2580122624
8,2,0.00016204833809752017,77.539633,2580123136
8,6,4.882812572759576e-05,117.182763,2580123136
8,7,1.9874572899425402e-05,102.752691,2580123136
8,8,5.650520506605972e-06,97.045338,2580123136
8,9,2.5329589334432967e-05,110.538053,2580123136
8,10,0.00018585205543786287,85.240186,2580123136
8,11,5.9700014389818534e-06,82.706278,2580123136
8,12,0.00013420105096884072,110.215150,2580123136
8,13,0.00015747069846838713,64.568920,2580123136
8,14,0.0001316070556640625,104.299739,2580123136
9,1,0.0038085938431322575,77.054844,1452634624
9,2,0.0033666992094367743,76.499242,1452635136
9,3,0.0037353516090661287,75.395116,1451842048
9,4,0.0029418945778161287,73.843262,1452635136
9,5,0.0035766600631177425,74.615676,1451719168
9,6,0.0034155272878706455,75.520738,1452635136
9,7,0.003828125074505806,75.625338,1452635136
9,8,0.00445556640625,75.516232,1451719168
9,9,0.004155273549258709,76.049616,1452274688
9,10,0.0037719726096838713,75.735637,1452635136
9,11,0.0045312498696148396,75.648140,1447519744
